Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,,coplitot GC,gpt-3.5-turbo ,gpt-4-turbo ,ChatGPT-4 GC
38.0.0,decrypt,P,,decrypt() and related methods now accept both str and bytes tokens.,,"Decrypts a Fernet token. If successfully decrypted you will receive the original plaintext as the result, otherwise an exception will be raised. It is safe to use this data immediately as Fernet verifies that the data has not been tampered with prior to returning it.",https://cryptography.io/en/latest/fernet/#cryptography.fernet.Fernet.decrypt,,7/10,10/10,10/10,9/10
38.0.0,cryptography.x509.CertificateBuilder,D,,Using MD5 or SHA1 in CertificateBuilder and other X.509 builders is deprecated and support will be removed in the next version.,,X.509 Certificate Builder,https://cryptography.io/en/latest/x509/reference/#cryptography.x509.CertificateBuilder,,4/10,0/10,10/10,2/10
38.0.0,encryption_builder,P,,"It is now possible to customize some aspects of encryption when serializing private keys, using encryption_builder().",,Returns a builder for configuring how values are encrypted with this format. You must call this method on an element of the enumeration.,https://cryptography.io/en/latest/hazmat/primitives/asymmetric/serialization/#cryptography.hazmat.primitives.serialization.PrivateFormat.encryption_builder,,0/10,0/10,4/10,0/5
39.0.0,encode_point,D,,"Removed the encode_point and from_encoded_point methods on EllipticCurvePublicNumbers, which had been deprecated for several years. public_bytes() and from_encoded_point() should be used instead.",,Encodes an elliptic curve point to a byte string as described in SEC 1 v2.0 section 2.3.3. This method only supports uncompressed points.,https://cryptography.io/en/latest/changelog/#v38-0-0,,3/10,0/10,0/10,0/10
39.0.0,from_encoded_point,D,,"Removed the encode_point and from_encoded_point methods on EllipticCurvePublicNumbers, which had been deprecated for several years. public_bytes() and from_encoded_point() should be used instead.",,Decodes a byte string as described in SEC 1 v2.0 section 2.3.3 and returns an EllipticCurvePublicNumbers. This method only supports uncompressed points.,https://cryptography.io/en/latest/changelog/#v38-0-0,,2/8,0/10,10/10,0/10
40.0.0,load_ssh_public_key,D,,Deprecated support for DSA keys in load_ssh_public_key() and load_ssh_private_key().,,Deserialize a public key from OpenSSH (RFC 4253 and PROTOCOL.certkeys) encoded data to an instance of the public key type.,https://cryptography.io/en/latest/hazmat/primitives/asymmetric/serialization/#cryptography.hazmat.primitives.serialization.load_ssh_public_key,,3/10,10/10,10/10,5/10
40.0.0,load_ssh_private_key,D,,Deprecated support for DSA keys in load_ssh_public_key() and load_ssh_private_key().,,Deserialize a private key from OpenSSH encoded data to an instance of the private key type.,https://cryptography.io/en/latest/hazmat/primitives/asymmetric/serialization/#cryptography.hazmat.primitives.serialization.load_ssh_private_key,,1/8,10/10,10/10,6/10
40.0.0,DSAPublicKey  ,D,,Deprecated support for OpenSSH serialization in DSAPublicKey and DSAPrivateKey.,,A DSA public key.,https://cryptography.io/en/latest/hazmat/primitives/asymmetric/dsa/#cryptography.hazmat.primitives.asymmetric.dsa.DSAPublicKey,,0/10,0/10,0/10,0/10
40.0.0,DSAPrivateKey,D,,Deprecated support for OpenSSH serialization in DSAPublicKey and DSAPrivateKey.,,A DSA private key.,https://cryptography.io/en/latest/hazmat/primitives/asymmetric/dsa/#cryptography.hazmat.primitives.asymmetric.dsa.DSAPrivateKey,,1/9,0/10,0/10,0/10
40.0.0,X.509 builder classes,R,,The X.509 builder classes now raise UnsupportedAlgorithm instead of ValueError if an unsupported hash algorithm is passed.,,,https://cryptography.io/en/latest/x509/,,,,,
40.0.0,cryptography.hazmat.primitives.asymmetric.types,D,,Deprecated previously undocumented but not private type aliases in the cryptography.hazmat.primitives.asymmetric.types module in favor of new ones above.,,,https://cryptography.io/en/latest/hazmat/primitives/asymmetric/,,,,,
42.0.0,load_pem_pkcs7_certificates,R,,BACKWARDS INCOMPATIBLE: Loading a PKCS7 with no content field using load_pem_pkcs7_certificates() or load_der_pkcs7_certificates() will now raise a ValueError rather than return an empty list.,,"Deserialize a PEM encoded PKCS7 blob to a list of certificates. PKCS7 can contain many other types of data, including CRLs, but this function will ignore everything except certificates.",https://cryptography.io/en/latest/hazmat/primitives/asymmetric/serialization/#cryptography.hazmat.primitives.serialization.pkcs7.load_pem_pkcs7_certificates,,1/9,10/10,4/10,0/10
42.0.0,load_der_pkcs7_certificates,R,,BACKWARDS INCOMPATIBLE: Loading a PKCS7 with no content field using load_pem_pkcs7_certificates() or load_der_pkcs7_certificates() will now raise a ValueError rather than return an empty list.,,"Deserialize a DER encoded PKCS7 blob to a list of certificates. PKCS7 can contain many other types of data, including CRLs, but this function will ignore everything except certificates.",https://cryptography.io/en/latest/hazmat/primitives/asymmetric/serialization/#cryptography.hazmat.primitives.serialization.pkcs7.load_der_pkcs7_certificates,,1/8,10/10,10/10,0/10
42.0.0,not_valid_before,D,,"Deprecated the following properties that return naïve datetime objects: not_valid_before(), not_valid_after(), revocation_date(), next_update(), last_update() in favor of the new timezone-aware variants mentioned above.",,A naïve datetime representing the beginning of the validity period for the certificate in UTC. This value is inclusive.,https://cryptography.io/en/latest/x509/reference/#cryptography.x509.Certificate.not_valid_before,,0/10,0/10,10/10,5/10
42.0.0,not_valid_after,D,,"Deprecated the following properties that return naïve datetime objects: not_valid_before(), not_valid_after(), revocation_date(), next_update(), last_update() in favor of the new timezone-aware variants mentioned above.",,A naïve datetime representing the end of the validity period for the certificate in UTC. This value is inclusive.,https://cryptography.io/en/latest/x509/reference/#cryptography.x509.Certificate.not_valid_after,,0/8,0/10,10/10,8/10
42.0.0,revocation_date,D,,"Deprecated the following properties that return naïve datetime objects: not_valid_before(), not_valid_after(), revocation_date(), next_update(), last_update() in favor of the new timezone-aware variants mentioned above.",,A naïve datetime representing the date this certificates was revoked.,https://cryptography.io/en/latest/x509/reference/#cryptography.x509.RevokedCertificate.revocation_date,,0/9,0/10,0/10,4/10
42.0.0,next_update,D,,"Deprecated the following properties that return naïve datetime objects: not_valid_before(), not_valid_after(), revocation_date(), next_update(), last_update() in favor of the new timezone-aware variants mentioned above.",,A naïve datetime representing when the next update to this CRL is expected.,https://cryptography.io/en/latest/x509/reference/#cryptography.x509.CertificateRevocationList.next_update,,0/9,0/10,0/10,6/10
42.0.0,last_update,D,,"Deprecated the following properties that return naïve datetime objects: not_valid_before(), not_valid_after(), revocation_date(), next_update(), last_update() in favor of the new timezone-aware variants mentioned above.",,A naïve datetime representing when this CRL was last updated.,https://cryptography.io/en/latest/x509/reference/#cryptography.x509.CertificateRevocationList.last_update,,0/9,0/10,0/10,3/10
43.0.0,generate_private_key,P,,"generate_private_key() now enforces a minimum RSA key size of 1024-bit. Note that 1024-bit is still considered insecure, users should generally use a key size of 2048-bits.",,Generates a new RSA private key.,https://cryptography.io/en/latest/hazmat/primitives/asymmetric/rsa/#cryptography.hazmat.primitives.asymmetric.rsa.generate_private_key,,1/10,10/10,10/10,5/10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,0.152866242,0.3529411765,0.5764705882,0.3212121212
