Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,coplitot GC,gpt-3.5-turbo,gpt-4-turbo,ChatGPT-4 GC
1.20.0, numpy.dual,D,,"The module numpy.dual is deprecated. Instead of importing functions from numpy.dual, the functions should be imported directly from NumPy or SciPy.",,,,,,,
1.20.0,it.ndincr,D,,"The ndincr method of ndindex is deprecated
The documentation has warned against using this function since NumPy 1.8. Use next(it) instead of it.ndincr().",,,,,,,
1.21.0 ,ndarray.ctypes.get_data,D,,"Four ndarray.ctypes methods have been deprecated
Four methods of the ndarray.ctypes object have been deprecated, as they are (undocumentated) implementation artifacts of their respective properties.

The methods in question are:

_ctypes.get_data (use _ctypes.data instead)

_ctypes.get_shape (use _ctypes.shape instead)

_ctypes.get_strides (use _ctypes.strides instead)

_ctypes.get_as_parameter (use _ctypes._as_parameter_ instead)",gh-19031,"A pointer to the memory area of the array as a Python integer. This memory area may contain data that is not aligned, or not in correct byte-order. The memory area may not even be writeable. The array flags and data-type of this array should be respected when passing this attribute to arbitrary C-code to avoid trouble that can include Python crashing. User Beware! The value of this attribute is exactly the same as",,,0/10,0/10,
1.21.0,ndarray.ctypes.get_shape ,D,,"Four ndarray.ctypes methods have been deprecated
Four methods of the ndarray.ctypes object have been deprecated, as they are (undocumentated) implementation artifacts of their respective properties.

The methods in question are:

_ctypes.get_data (use _ctypes.data instead)

_ctypes.get_shape (use _ctypes.shape instead)

_ctypes.get_strides (use _ctypes.strides instead)

_ctypes.get_as_parameter (use _ctypes._as_parameter_ instead)",gh-19031,"(c_intp*self.ndim): A ctypes array of length self.ndim where the basetype is the C-integer corresponding to dtype('p') on this platform (see c_intp). This base-type could be ctypes.c_int, ctypes.c_long, or ctypes.c_longlong depending on the platform. The ctypes array contains the shape of the underlying array.",,0/5,0/10,0/10,0/10
1.21.0,ndarray.ctypes.get_strides,D,,"Four ndarray.ctypes methods have been deprecated
Four methods of the ndarray.ctypes object have been deprecated, as they are (undocumentated) implementation artifacts of their respective properties.

The methods in question are:

_ctypes.get_data (use _ctypes.data instead)

_ctypes.get_shape (use _ctypes.shape instead)

_ctypes.get_strides (use _ctypes.strides instead)

_ctypes.get_as_parameter (use _ctypes._as_parameter_ instead)",gh-19031,(c_intp*self.ndim): A ctypes array of length self.ndim where the basetype is the same as for the shape attribute. This ctypes array contains the strides information from the underlying array. This strides information is important for showing how many bytes must be jumped to get to the next element in the array.,,0/4,0/10,0/10,0/10
1.21.0,ndarray.ctypes.get_as_parameter,D,,"Four ndarray.ctypes methods have been deprecated
Four methods of the ndarray.ctypes object have been deprecated, as they are (undocumentated) implementation artifacts of their respective properties.

The methods in question are:

_ctypes.get_data (use _ctypes.data instead)

_ctypes.get_shape (use _ctypes.shape instead)

_ctypes.get_strides (use _ctypes.strides instead)

_ctypes.get_as_parameter (use _ctypes._as_parameter_ instead)",gh-19031,,,,,,
1.21.0,np.random.Generator.uniform,R,,"Validate input values in Generator.uniform
Checked that high - low >= 0 in np.random.Generator.uniform. Raises ValueError if low > high. Previously out-of-order inputs were accepted and silently swapped, so that if low > high, the value generated was high + (low - high) * random().",gh-17921,Draw samples from a uniform distribution.,https://numpy.org/doc/stable/reference/random/generated/numpy.random.uniform.html,0/8,0/10,0/10,0/10
1.21.0,numpy.format_float_positional,P,,"New min_digits argument for printing float values
A new min_digits argument has been added to the dragon4 float printing functions format_float_positional and format_float_scientific . This kwd guarantees that at least the given number of digits will be printed when printing in unique=True mode, even if the extra digits are unnecessary to uniquely specify the value. It is the counterpart to the precision argument which sets the maximum number of digits to be printed. When unique=False in fixed precision mode, it has no effect and the precision argument fixes the number of digits.",gh-18629,Format a floating-point scalar as a decimal string in positional notation.,https://numpy.org/doc/1.25/reference/generated/numpy.format_float_positional.html#numpy.format_float_positional,7/8,10/10,10/10,0/10
1.21.0,numpy.format_float_scientific,P,,"New min_digits argument for printing float values
A new min_digits argument has been added to the dragon4 float printing functions format_float_positional and format_float_scientific . This kwd guarantees that at least the given number of digits will be printed when printing in unique=True mode, even if the extra digits are unnecessary to uniquely specify the value. It is the counterpart to the precision argument which sets the maximum number of digits to be printed. When unique=False in fixed precision mode, it has no effect and the precision argument fixes the number of digits.",gh-18629,Format a floating-point scalar as a decimal string in scientific notation.,https://numpy.org/doc/1.25/reference/generated/numpy.format_float_scientific.html#numpy.format_float_scientific,7/8,10/10,10/10,10/10
1.21.0,np.unique,R,,"np.unique now returns single NaN
When np.unique operated on an array with multiple NaN entries, its return included a NaN for each entry that was NaN in the original array. This is now improved such that the returned array contains just one NaN as the last element.",gh-18070,"Find the unique elements of an array.

Returns the sorted unique elements of an array. There are three optional outputs in addition to the unique elements:",https://numpy.org/doc/stable/reference/generated/numpy.unique.html,6/7,8/10,10/10,10/10
