Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,coplitot GC,gpt-3.5-turbo,gpt-4-turbo,ChatGPT-4 GC
0.24.0,tree.DecisionTreeClassifier.fit,P,," The parameter X_idx_sorted is now deprecated in tree.DecisionTreeClassifier.fit and tree.DecisionTreeRegressor.fit, and has not effect. ",#17614,"Build a decision tree classifier from the training set (X, y).",https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeClassifier.html#sklearn.tree.DecisionTreeClassifier.fit#17614 ,,10/10,,8/10
0.24.0,tree.DecisionTreeRegressor.fit,P,," The parameter X_idx_sorted is now deprecated in tree.DecisionTreeClassifier.fit and tree.DecisionTreeRegressor.fit, and has not effect. ",#17614,"Build a decision tree regressor from the training set (X, y)",https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html#sklearn.tree.DecisionTreeRegressor.fit,,,,9/10
0.24.0,sklearn.naive_bayes.CategoricalNB,P,,"The attributes coef_ and intercept_ are now deprecated in naive_bayes.MultinomialNB, naive_bayes.ComplementNB, naive_bayes.BernoulliNB and naive_bayes.CategoricalNB, and will be removed in v1.1 (renaming of 0.26). ",#17427,Naive Bayes classifier for categorical features.,https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.CategoricalNB.html#sklearn.naive_bayes.CategoricalNB,,,,8/8
0.24.0,sklearn.naive_bayes.BernoulliNB,P,,"The attributes coef_ and intercept_ are now deprecated in naive_bayes.MultinomialNB, naive_bayes.ComplementNB, naive_bayes.BernoulliNB and naive_bayes.CategoricalNB, and will be removed in v1.1 (renaming of 0.26). ",#17427,Naive Bayes classifier for multivariate Bernoulli models.,https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.BernoulliNB.html#sklearn.naive_bayes.BernoulliNB,,,,10/10
0.24.0,sklearn.naive_bayes.ComplementNB,P,,"The attributes coef_ and intercept_ are now deprecated in naive_bayes.MultinomialNB, naive_bayes.ComplementNB, naive_bayes.BernoulliNB and naive_bayes.CategoricalNB, and will be removed in v1.1 (renaming of 0.26). ",#17427,"The Complement Naive Bayes classifier described in Rennie et al. (2003).

The Complement Naive Bayes classifier was designed to correct the “severe assumptions” made by the standard Multinomial Naive Bayes classifier. It is particularly suited for imbalanced data sets.",https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.ComplementNB.html#sklearn.naive_bayes.ComplementNB,,,,10/10
0.24.0,sklearn.naive_bayes.MultinomialNB,P,,"The attributes coef_ and intercept_ are now deprecated in naive_bayes.MultinomialNB, naive_bayes.ComplementNB, naive_bayes.BernoulliNB and naive_bayes.CategoricalNB, and will be removed in v1.1 (renaming of 0.26). ",#17427,Naive Bayes classifier for multinomial models.,https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.MultinomialNB.html#sklearn.naive_bayes.MultinomialNB,,,,10/10
0.24.0,inspection.PartialDependenceDisplay.plot,P,,Positional arguments are deprecated in inspection.PartialDependenceDisplay.plot and will error in 1.1 (renaming of 0.26).,#18293 ,Plot partial dependence plots.,https://scikit-learn.org/stable/modules/generated/sklearn.inspection.PartialDependenceDisplay.html#sklearn.inspection.PartialDependenceDisplay.plot,,,,0/7
0.24.0,feature_selection.SelectFromModel,P,," A new parameter importance_getter was added to feature_selection.RFE, feature_selection.RFECV and feature_selection.SelectFromModel, allowing the user to specify an attribute name/path or a callable for extracting feature importance from the estimator.", #15361 ,Meta-transformer for selecting features based on importance weights.,https://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SelectFromModel.html#sklearn.feature_selection.SelectFromModel,,,,10/10
0.24.0, sklearn.feature_selection.RFE,P,," A new parameter importance_getter was added to feature_selection.RFE, feature_selection.RFECV and feature_selection.SelectFromModel, allowing the user to specify an attribute name/path or a callable for extracting feature importance from the estimator.",#15361,Feature ranking with recursive feature elimination.,https://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.RFE.html#sklearn.feature_selection.RFE,,,,9/10
0.24.0,sklearn.feature_selection.RFECV,P,," A new parameter importance_getter was added to feature_selection.RFE, feature_selection.RFECV and feature_selection.SelectFromModel, allowing the user to specify an attribute name/path or a callable for extracting feature importance from the estimator.",#15361,Recursive feature elimination with cross-validation to select features.,https://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.RFECV.html#sklearn.feature_selection.RFECV,,,,9/10
0.24.0,feature_selection.SequentialFeatureSelector,A,,Added feature_selection.SequentialFeatureSelector which implements forward and backward sequential feature selection. #6545 by Sebastian Raschka,#6545,Transformer that performs Sequential Feature Selection.,https://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SequentialFeatureSelector.html#sklearn.feature_selection.SequentialFeatureSelector,,,,
0.24.0,exceptions.NonBLASDotWarning,D,,exceptions.ChangedBehaviorWarning and exceptions.NonBLASDotWarning are deprecated and will be removed in 1.1 (renaming of 0.26). ,,,,,,,
0.24.0,exceptions.ChangedBehaviorWarning,D,,exceptions.ChangedBehaviorWarning and exceptions.NonBLASDotWarning are deprecated and will be removed in 1.1 (renaming of 0.26). ,,,,,,,
0.24.0,sklearn.ensemble.GradientBoostingRegressor,P,,The parameter n_classes_ is now deprecated in ensemble.GradientBoostingRegressor and returns 1.,#17702,"Gradient Boosting for regression.

This estimator builds an additive model in a forward stage-wise fashion; it allows for the optimization of arbitrary differentiable loss functions. In each stage a regression tree is fit on the negative gradient of the given loss function.
",https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html#sklearn.ensemble.GradientBoostingRegressor,,,,10/10
0.24.0,cross_decomposition.PLSRegression,P,,"For cross_decomposition.PLSRegression, cross_decomposition.PLSCanonical, cross_decomposition.CCA, and cross_decomposition.PLSSVD, the x_mean_, y_mean_, x_std_, and y_std_ attributes were deprecated and will be removed in 1.1 (renaming of 0.26).",#18768,"PLS regression.

PLSRegression is also known as PLS2 or PLS1, depending on the number of targets.",https://scikit-learn.org/stable/modules/generated/sklearn.cross_decomposition.PLSRegression.html#sklearn.cross_decomposition.PLSRegression,,,,10/10
0.24.0,cross_decomposition.PLSCanonical,P,,"For cross_decomposition.PLSSVD, cross_decomposition.CCA, and cross_decomposition.PLSCanonical, the x_scores_ and y_scores_ attributes were deprecated and will be removed in 1.1 (renaming of 0.26). They can be retrieved by calling transform on the training data. The norm_y_weights attribute will also be removed.",#17095,Partial Least Squares transformer and regressor.,https://scikit-learn.org/stable/modules/generated/sklearn.cross_decomposition.PLSCanonical.html#sklearn.cross_decomposition.PLSCanonical,,,,0/10
