,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,coplitot GC,gpt-4,gpt-3.5-turbo GC,ChatGPT-4 GC
1.7.0," 
         
scipy.cluster.vq.kmeans2
",P,,"An optional argument, seed, has been added to kmeans and kmeans2 to set the random generator and random state.",,Classify a set of observations into k clusters using the k-means algorithm.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.cluster.vq.kmeans2.html#scipy.cluster.vq.kmeans2,1/9,,0/10,0/10
1.7.0,scipy.cluster.vq.kmeans,P,,"An optional argument, seed, has been added to kmeans and kmeans2 to set the random generator and random state.",,Performs k-means on a set of observation vectors forming k clusters.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.cluster.vq.kmeans.html#scipy.cluster.vq.kmeans,4/6,,10/10,10/10
1.7.0,scipy.spatial.distance.jensenshannon,P,,The parameters axis and keepdims where added to scipy.spatial.distance.jensenshannon.,,Compute the Jensen-Shannon distance (metric) between two probability arrays. This is the square root of the Jensen-Shannon divergence.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.spatial.distance.jensenshannon.html#scipy.spatial.distance.jensenshannon,3/10,,10/10,7/8
1.7.0,scipy.spatial.vq.kmeans,P,,The parameter seed was added to scipy.spatial.vq.kmeans and scipy.spatial.vq.kmeans2.,,,,,,,
1.7.0,scipy.spatial.vq.kmeans2,P,,The parameter seed was added to scipy.spatial.vq.kmeans and scipy.spatial.vq.kmeans2.,,,,,,,
1.7.0,scipy.stats.binomtest,A,,"The new function scipy.stats.binomtest replaces scipy.stats.binom_test. The new function returns an object that calculates a confidence intervals of the proportion parameter. Also, performance was improved from O(n) to O(log(n)) by using binary search.",,"Perform a test that the probability of success is p.

The binomial test [1] is a test of the null hypothesis that the probability of success in a Bernoulli experiment is p.",https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.binomtest.html#scipy.stats.binomtest,,,,
1.7.0,scipy.stats.alexandergovern,A,,The Alexander-Govern test is implemented in the new function scipy.stats.alexandergovern,,Performs the Alexander Govern test.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.alexandergovern.html#scipy.stats.alexandergovern,,,,
1.7.0,scipy.stats.page_trend_test,A,,The new function scipy.stats.page_trend_test performs Page’s test for ordered alternatives.,,"Perform Page’s Test, a measure of trend in observations between treatments.",https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.page_trend_test.html#scipy.stats.page_trend_test,,,,
1.7.0,scipy.stats.somersd,A,,The new function scipy.stats.somersd performs Somers’ D test for ordinal association between two variables.,,"Calculates Somers’ D, an asymmetric measure of ordinal association.",https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.somersd.html#scipy.stats.somersd,,,,
1.7.0,scipy.stats.ttest_ind,A,,"An option, permutations, has been added in scipy.stats.ttest_ind to perform permutation t-tests. A trim option was also added to perform a trimmed (Yuen’s) t-test.",,Calculate the T-test for the means of two independent samples of scores.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_ind.html#scipy.stats.ttest_ind,,,,
1.7.0,scipy.stats.differential_entropy,A,,The new function scipy.stats.differential_entropy estimates the differential entropy of a continuous distribution from a sample.,,"Given a sample of a distribution, estimate the differential entropy.",https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.differential_entropy.html#scipy.stats.differential_entropy,,,,
1.7.0,scipy.linalg.pinv2,D,,scipy.linalg.pinv2 is deprecated and its functionality is completely subsumed into scipy.linalg.pinv,,Calculate a generalized inverse of a matrix using its singular-value decomposition and including all ‘large’ singular values.,,1/3,,0/10,2/10
1.7.0,scipy.linalg.pinv2,P,,"Both rcond, cond keywords of scipy.linalg.pinv and scipy.linalg.pinvh were not working and now are deprecated. They are now replaced with functioning atol and rtol keywords with clear usage.",,Compute the (Moore-Penrose) pseudo-inverse of a matrix.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.linalg.pinv.html#scipy.linalg.pinv,,,,
1.7.0,scipy.linalg.pinvh,P,,"Both rcond, cond keywords of scipy.linalg.pinv and scipy.linalg.pinvh were not working and now are deprecated. They are now replaced with functioning atol and rtol keywords with clear usage.",,Compute the (Moore-Penrose) pseudo-inverse of a Hermitian matrix.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.linalg.pinvh.html#scipy.linalg.pinvh,4/9,,0/10,8/9
1.7.0,scipy.stats.contingency.crosstab,A,,The new function scipy.stats.contingency.crosstab computes a contingency table (i.e. a table of counts of unique entries) for the given data.,,Return table of counts for each possible unique combination in *args.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.contingency.crosstab.html#scipy.stats.contingency.crosstab,,,,
1.7.0, scipy.stats.contingency.relative_risk,A,,"A new function scipy.stats.contingency.relative_risk calculates the relative risk, or risk ratio, of a 2x2 contingency table. The object returned has a method to compute the confidence interval of the relative risk.
",,Compute the relative risk (also known as the risk ratio).,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.contingency.relative_risk.html#scipy.stats.contingency.relative_risk,,,,
1.7.0,scipy.stats.contingency.association,A,,"The new function scipy.stats.contingency.association computes several measures of association for a contingency table: Pearsons contingency coefficient, Cramer’s V, and Tschuprow’s T.",,Calculates degree of association between two nominal variables.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.contingency.association.html#scipy.stats.contingency.association,,,,
1.7.0,scipy.stats.zmap,P,,The parameter nan_policy was added to scipy.stats.zmap to provide options for handling the occurrence of nan in the input data.,,Calculate the relative z-scores.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.zmap.html#scipy.stats.zmap,0/10,,0/10,0/10
1.7.0,scipy.stats.variation,P,,The parameter ddof was added to scipy.stats.variation and scipy.stats.mstats.variation.,,Compute the coefficient of variation.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.variation.html#scipy.stats.variation,3/5,,10/10,8/10
1.7.0,scipy.stats.gmean,P,,The parameter weights was added to scipy.stats.gmean.,,"Compute the weighted geometric mean along the specified axis.
",https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.gmean.html#scipy.stats.gmean,6/10,,10/10,0/8
1.7.0,scipy.stats.mstats.variation,P,,The parameter ddof was added to scipy.stats.variation and scipy.stats.mstats.variation.,,Compute the coefficient of variation.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.mstats.variation.html#scipy.stats.mstats.variation,0/3,,0/10,0/10
1.8.0,scipy.fft ,P,,Added an orthogonalize=None parameter to the real transforms in scipy.fft which controls whether the modified definition of DCT/DST is used without changing the overall scaling.,,Compute the 1-D discrete Fourier Transform.,https://docs.scipy.org/doc/scipy/reference/fft.html#module-scipy.fft,5/9,,10/10,10/10
