Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,,coplitot GC,gpt-turbo GC,GPT4,ChatGPT-4 GC
0.12.0,stripplot,P,,The new native_scale parameter allows numeric or datetime categories to be plotted with their original scale rather than converted to strings and plotted at fixed intervals.,#2413,"Draw a categorical scatterplot using jitter to reduce overplotting.

A strip plot can be drawn on its own, but it is also a good complement to a box or violin plot in cases where you want to show all observations along with some representation of the underlying distribution.",https://seaborn.pydata.org/generated/seaborn.stripplot.html#seaborn.stripplot,,,,,
0.12.0,swarmplot,P,,The new native_scale parameter allows numeric or datetime categories to be plotted with their original scale rather than converted to strings and plotted at fixed intervals.,#2413,"Draw a categorical scatterplot with points adjusted to be non-overlapping.

",https://seaborn.pydata.org/generated/seaborn.swarmplot.html#seaborn.swarmplot,,,,,
0.12.0,stripplot,P,,"The new formatter parameter allows more control over the string representation of values on the categorical axis. There should also be improved defaults for some types, such as dates.",#2447,"Draw a categorical scatterplot using jitter to reduce overplotting.

A strip plot can be drawn on its own, but it is also a good complement to a box or violin plot in cases where you want to show all observations along with some representation of the underlying distribution.",https://seaborn.pydata.org/generated/seaborn.stripplot.html#seaborn.stripplot,,,,,
0.12.0,swarmplot,P,,"The new formatter parameter allows more control over the string representation of values on the categorical axis. There should also be improved defaults for some types, such as dates.",#2447,Draw a categorical scatterplot with points adjusted to be non-overlapping.,https://seaborn.pydata.org/generated/seaborn.swarmplot.html#seaborn.swarmplot,,,,,
0.12.0,barplot,P,,Added a width parameter to barplot() ,#2860,Show point estimates and errors as rectangular bars.,https://seaborn.pydata.org/generated/seaborn.barplot.html#seaborn.barplot,,,,,
0.12.0,factorplot,D,,"Removed the previously-deprecated factorplot along with several previously-deprecated utility functions (iqr, percentiles, pmf_hist, and sort_df",,,,,,,,
0.12.1,pointplot,P,,"Added a label parameter to pointplot(), which addresses a regression in 0.12.0 when pointplot() is passed to FacetGrid",#3016,Show point estimates and errors using lines with markers.,https://seaborn.pydata.org/generated/seaborn.pointplot.html#seaborn.pointplot,,,,,
0.12.1,objects.Continuous.label,P,,The objects.Continuous.label() method now accepts base=None to override the default formatter with a log transform,#3087,Configure the appearance of tick labels for the scale’s axis or legend.,https://seaborn.pydata.org/generated/seaborn.objects.Continuous.html#seaborn.objects.Continuous.label,,,,,
0.12.1,seaborn.objects.Count,A,,Added the objects.Count stat ,#3063,Count distinct observations within groups.,https://seaborn.pydata.org/generated/seaborn.objects.Count.html#seaborn.objects.Count,,,,,
0.12.1,seaborn.objects.Perc,A,, Added the objects.Count stat,#3086,Replace observations with percentile values.,https://seaborn.pydata.org/generated/seaborn.objects.Perc.html#seaborn.objects.Perc,,,,,
0.12.2,seaborn.objects.KDE,A,,Added the objects.KDE stat ,#3111,Compute a univariate kernel density estimate.,https://seaborn.pydata.org/generated/seaborn.objects.KDE.html#seaborn.objects.KDE,,,,,
0.13.0,boxplot,P,,"The boxplot(), boxenplot(), and violinplot() functions now support a single linecolor parameter.",,,,,,,,
0.13.0,boxenplot,P,,"The boxplot(), boxenplot(), and violinplot() functions now support a single linecolor parameter.",,Draw an enhanced box plot for larger datasets.,https://seaborn.pydata.org/generated/seaborn.boxenplot.html#seaborn.boxenplot,,,,,
0.13.0,violinplot,P,,"The boxplot(), boxenplot(), and violinplot() functions now support a single linecolor parameter.",,Draw a patch representing a KDE and add observations or box plot statistics.,https://seaborn.pydata.org/generated/seaborn.violinplot.html#seaborn.violinplot,,,,,
0.13.0,pointplot,P,,"In pointplot(), a single matplotlib.lines.Line2D artist is now used rather than adding separate matplotlib.collections.PathCollection artist for the points. As a result, it is now possible to pass additional keyword arguments for complete customization the appearance of both the lines and markers; additionally, the legend representation is improved. Accordingly, parameters that previously allowed only partial customization (scale, join, and errwidth) are now deprecated. The old parameters will now trigger detailed warning messages with instructions for adapting existing code.",,Show point estimates and errors using lines with markers.,https://seaborn.pydata.org/generated/seaborn.pointplot.html#seaborn.pointplot,,,,,
0.13.0,violinplot,P,,"The bandwidth specification in violinplot() better aligns with kdeplot(), as the bw parameter is now deprecated in favor of bw_method and bw_adjust.",,Draw a patch representing a KDE and add observations or box plot statistics.,https://seaborn.pydata.org/generated/seaborn.violinplot.html#seaborn.violinplot,,,,,
0.13.0,boxenplot,P,,"In boxenplot(), the scale parameter has been renamed to width_method as part of a broader effort to de-confound the meaning of “scale” in seaborn parameters.

",,Draw an enhanced box plot for larger datasets.,https://seaborn.pydata.org/generated/seaborn.boxenplot.html#seaborn.boxenplot,,,,,
0.13.0,countplot,P,,"In countplot(), the new stat parameter can be used to apply a normalization (e.g to show a ""percent"" or ""proportion"").",,Show the counts of observations in each categorical bin using bars.,https://seaborn.pydata.org/generated/seaborn.countplot.html#seaborn.countplot,,,,,
0.13.0,violinplot,P,,"In violinplot(), the new inner_kws parameter allows additional control over the interior artists.",,Draw a patch representing a KDE and add observations or box plot statistics.,https://seaborn.pydata.org/generated/seaborn.violinplot.html#seaborn.violinplot,,,,,
