Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,copilot,gpt-3.5-turbo,gpt-4-turbo,chatgpt4
8.4,PIL.WalImageFile.open(),R,,PIL.WalImageFile.open() previously returned a generic PIL.Image.Image instance. It now returns a dedicated PIL.WalImageFile.WalImageFile class.,,Load texture from a Quake2 WAL texture file.,https://pillow.readthedocs.io/en/stable/PIL.html#PIL.WalImageFile.open,0/10,0/10,0/10,0/10
8.4,PIL.ImagePalette.ImagePalette,P,,"ImagePalette size parameter
The size parameter will be removed in Pillow 10.0.0 (2023-07-01).",,Color palette for palette mapped images,https://pillow.readthedocs.io/en/stable/reference/ImagePalette.html,0/9,0/10,1/10,0/10
8.4,,P,,Added “transparency” argument for loading EPS images,,,,,,,
9.0.0,ImageDraw.Draw.polygon,P,,An optional line width parameter has been added to ImageDraw.Draw.polygon,,,https://pillow.readthedocs.io/en/stable/reference/ImageDraw.html,,,,
9.0.0,"PIL.ImageShow.Viewer.show_file
",P,,The file argument in show_file() has been deprecated and will be removed in Pillow 10.0.0 (2023-07-01). It has been replaced by path.,,Display given file.,https://pillow.readthedocs.io/en/stable/reference/ImageShow.html#PIL.ImageShow.Viewer.show_file,0/9,0/10,0/10,0/10
9.0.0,get_photoshop_blocks,A,,"get_photoshop_blocks() has been added, to allow users to determine what Photoshop “Image Resource Blocks” are contained within an image. The keys of the returned dictionary are the image resource IDs.

At present, the information within each block is merely returned as a dictionary with a “data” entry. This will allow more useful information to be added in the future without breaking backwards compatibility.",,Returns a dictionary of Photoshop “Image Resource Blocks”. The keys are the image resource ID.,https://pillow.readthedocs.io/en/stable/reference/plugins.html#PIL.TiffImagePlugin.TiffImageFile.get_photoshop_blocks,,,,
9.0.0,FitsStubImagePlugin,D,,"The stub image plugin FitsStubImagePlugin has been deprecated and will be removed in Pillow 10.0.0 (2023-07-01). FITS images can be read without a handler through FitsImagePlugin instead.
",,,,,,,
9.2.0,getmask2,P,,The undocumented fill parameter of FreeTypeFont.getmask2() has been deprecated and will be removed in Pillow 10 (2023-07-01).,,Create a bitmap for the text.,https://pillow.readthedocs.io/en/stable/reference/ImageFont.html#PIL.ImageFont.FreeTypeFont.getmask2,0/10,0/10,0/10,0/10
9.2.0,FreeTypeFont.getsize,D,,Several functions for computing the size and offset of rendered text have been deprecated and will be removed in Pillow 10 ,https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,,,
9.2.0,FreeTypeFont.getoffset,D,,Several functions for computing the size and offset of rendered text have been deprecated and will be removed in Pillow 10 ,https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,,,
9.2.0,FreeTypeFont.getsize_multiline,D,,Several functions for computing the size and offset of rendered text have been deprecated and will be removed in Pillow 10 ,https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,,,
9.2.0,ImageFont.getsize,D,,Several functions for computing the size and offset of rendered text have been deprecated and will be removed in Pillow 10 ,https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,,,
9.2.0,TransposedFont.getsize,D,,Several functions for computing the size and offset of rendered text have been deprecated and will be removed in Pillow 10 ,https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,,,
9.2.0,ImageDraw.textsize,D,,Several functions for computing the size and offset of rendered text have been deprecated and will be removed in Pillow 10 ,https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,,,
9.2.0,ImageDraw.multiline_textsize,D,,Several functions for computing the size and offset of rendered text have been deprecated and will be removed in Pillow 10 ,https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,,,
9.2.0,ImageDraw2.Draw.textsize,D,,Several functions for computing the size and offset of rendered text have been deprecated and will be removed in Pillow 10 ,https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,,,
9.2.0,Image.apply_transparency,A,,"Added apply_transparency(), a method to take a P mode image with “transparency” in im.info, and apply the transparency to the palette instead. The image’s palette mode will become “RGBA”, and “transparency” will be removed from im.info.",,"If a P mode image has a “transparency” key in the info dictionary, remove the key and instead apply the transparency to the palette. Otherwise, the image is unchanged.
",https://pillow.readthedocs.io/en/stable/releasenotes/9.2.0.html#font-size-and-offset-methods,,,,
9.4.0,FreeTypeFont.getmask,P,,"Text may render differently when starting at fractional coordinates, so FreeTypeFont.getmask() and FreeTypeFont.getmask2() now support a start argument. This tuple of horizontal and vertical offset will be used internally by ImageDraw.text() to more accurately place text at the xy coordinates.",,Create a bitmap for the text.,https://pillow.readthedocs.io/en/stable/reference/ImageFont.html#PIL.ImageFont.FreeTypeFont.getmask,0/9,0/10,0/10,0/10
