Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,,coplitot GC,gpt-turbo GC,ChatGPT-4 GC
2.10.0,keras.layers.Attention,P,,"Causal attention in keras.layers.Attention and keras.layers.AdditiveAttention is now specified in the call() method via the use_causal_mask argument (rather than in the constructor), for consistency with other layers.",,"Dot-product attention layer, a.k.a. Luong-style attention.",https://www.tensorflow.org/api_docs/python/tf/keras/layers/Attention,,,,
2.10.0,keras.layers.AdditiveAttention,P,,"Causal attention in keras.layers.Attention and keras.layers.AdditiveAttention is now specified in the call() method via the use_causal_mask argument (rather than in the constructor), for consistency with other layers.",,"Additive attention layer, a.k.a. Bahdanau-style attention.",https://www.tensorflow.org/api_docs/python/tf/keras/layers/AdditiveAttention,,,,
2.10.0,tf.keras.initializers,P,,"RNG behavior change for tf.keras.initializers. Keras initializers will now use stateless random ops to generate random numbers.
Both seeded and unseeded initializers will always generate the same values every time they are called (for a given variable shape). For unseeded initializers (seed=None), a random seed will be created and assigned at initializer creation (different initializer instances get different seeds).
An unseeded initializer will raise a warning if it is reused (called) multiple times. This is because it would produce the same values each time, which may not be intended.",,Keras initializer serialization / deserialization.,https://docs.w3cub.com/tensorflow~2.9/keras/initializers,,,,
2.10.0,tensorflow::Status::OK(),D,,Use tensorflow::OkStatus() instead of tensorflow::Status::OK().,#3757,,https://github.com/tensorflow/tensorflow/blob/master/tensorflow/core/platform/status.h,,,,
2.10.0,StatusOr::ConsumeValueOrDie,D,,"tensorflow::StatusOr will also become in the future alias to absl::StatusOr, so use StatusOr::value instead of StatusOr::ConsumeValueOrDie",,,https://docs.ros.org/en/indigo/api/gcloud_speech/html/classutil_1_1StatusOr.html,,,,
2.10.0,experimental_device_ordinal,P,,New argument experimental_device_ordinal in LogicalDeviceConfiguration to control the order of logical devices. (GPU only),,Ordinal number to order the virtual device. LogicalDevice with lower ordinal number will receive a lower device id. Physical device id and location in the list is used to break ties. Currently only supported for Nvidia GPUs.,https://www.tensorflow.org/api_docs/python/tf/config/LogicalDeviceConfiguration,,,,
2.10.0,tf.keras.callbacks (class TensorBoard),P,,"Changed the TensorBoard tag names produced by the tf.keras.callbacks.TensorBoard callback, so that summaries logged automatically for model weights now include either a /histogram or /image suffix in their tag names, in order to prevent tag name collisions across summary types.",,Enable visualizations for TensorBoard.,https://www.tensorflow.org/api_docs/python/tf/keras/callbacks,,,,
2.11.0,tf.keras.optimizers.Optimizer,P,,"The tf.keras.optimizers.Optimizer base class now points to the new Keras optimizer, while the old optimizers have been moved to the tf.keras.optimizers.legacy namespace.",,Abstract optimizer base class.,https://www.tensorflow.org/api_docs/python/tf/keras/optimizers,,,,
2.11.0,tf.keras.optimizers.schedules.LearningRateSchedule,R,,"Learning rate schedule access. When using a tf.keras.optimizers.schedules.LearningRateSchedule, the new optimizer's learning_rate property returns the current learning rate value instead of a LearningRateSchedule object as before. If you need to access the LearningRateSchedule object, please use optimizer._learning_rate.",,The learning rate schedule base class.,https://www.tensorflow.org/api_docs/python/tf/keras/optimizers/schedules/LearningRateSchedule#get_config,,,,
2.11.0,tfl.mul,P,,tf.lite: Updates to existing operations: tfl.mul now supports complex32 inputs.,,"Multiplication operator
Element-wise multiplication operation.",https://www.tensorflow.org/mlir/tfl_ops#tfladd_n_tfladdnop,,,,
2.11.0,tf.custom_gradient,P,,"TF Core: tf.custom_gradient can now be applied to functions that accept ""composite"" tensors, such as tf.RaggedTensor, as inputs.",,Decorator to define a function with a custom gradient.,https://www.tensorflow.org/api_docs/python/tf/custom_gradient,,,,
2.11.0,experimental_follow_type_hints,D,,experimental_follow_type_hints for tf.function has been deprecated. Please use input_signature or reduce_retracing to minimize retracing.,,"When True, the function may use type annotations from `func` to optimize the tracing performance. For example, arguments annotated with `tf.Tensor` will automatically be converted to a Tensor.",https://android.googlesource.com/platform/external/tensorflow/+/632ff3f6169ef18a6947c53bd6f3cb5bf7fc26a6/tensorflow/python/eager/def_function.py,,,,
2.12.0,tensorflow-gpu,D,,"Removed redundant packages tensorflow-gpu and tf-nightly-gpu. These packages were removed and replaced with packages that direct users to switch to tensorflow or tf-nightly respectively. Since TensorFlow 2.1, the only difference between these two sets of packages was their names, so there is no loss of functionality or GPU support. See https://pypi.org/project/tensorflow-gpu for more details.",,,https://pypi.org/project/tensorflow-gpu/#description,,,,
2.12.0,tf-nightly-gpu,D,,"Removed redundant packages tensorflow-gpu and tf-nightly-gpu. These packages were removed and replaced with packages that direct users to switch to tensorflow or tf-nightly respectively. Since TensorFlow 2.1, the only difference between these two sets of packages was their names, so there is no loss of functionality or GPU support. See https://pypi.org/project/tensorflow-gpu for more details.",,,https://pypi.org/project/tf-nightly-gpu/,,,,
2.12.0,tf.function,P,,"tf.function now uses the Python inspect library directly for parsing the signature of the Python function it is decorated on. This change may break code where the function signature is malformed, but was ignored previously, such as:
Using functools.wraps on a function with different signature
Using functools.partial with an invalid tf.function input
tf.function now enforces input parameter names to be valid Python identifiers. Incompatible names are automatically sanitized similarly to existing SavedModel signature behavior.
Parameterless tf.functions are assumed to have an empty input_signature instead of an undefined one even if the input_signature is unspecified.
tf.types.experimental.TraceType now requires an additional placeholder_value method to be defined.
tf.function now traces with placeholder values generated by TraceType instead of the value itself.
",,Compiles a function into a callable TensorFlow graph.,https://www.tensorflow.org/api_docs/python/tf/function,,,,
2.12.0,tf.types.experimental.TraceType,P,,tf.types.experimental.TraceType now requires an additional placeholder_value method to be defined.,,Represents the type of object(s) for tf.function tracing purposes.,https://www.tensorflow.org/api_docs/python/tf/types/experimental/TraceType,,,,
2.12.0,tf.config.experimental.enable_mlir_graph_optimization,D,,Experimental APIs tf.config.experimental.enable_mlir_graph_optimization and tf.config.experimental.disable_mlir_graph_optimization were removed.,,Enables experimental MLIR-Based TensorFlow Compiler Optimizations.,https://docs.w3cub.com/tensorflow~2.4/config/experimental/enable_mlir_graph_optimization,,,,
2.12.0,tf.config.experimental.disable_mlir_graph_optimization,D,,Experimental APIs tf.config.experimental.enable_mlir_graph_optimization and tf.config.experimental.disable_mlir_graph_optimization were removed.,,Disables experimental MLIR-Based TensorFlow Compiler Optimizations.,https://docs.w3cub.com/tensorflow~2.3/config/experimental/disable_mlir_graph_optimization#google_vignette,,,,
2.12.0,dtensor.initialize_accelerator_system,P,,"Coordination service now works with dtensor.initialize_accelerator_system, and enabled by default.",,Initializes accelerators and communication fabrics for DTensor.,https://www.tensorflow.org/api_docs/python/tf/experimental/dtensor/initialize_accelerator_system,,,,
2.12.0,stream_executor,D,,"Top level stream_executor directory has been deleted, users should use equivalent headers and targets under compiler/xla/stream_executor.",,,https://github.com/petewarden/tensorflow_makefile/tree/master/tensorflow/stream_executor,,,,
2.12.0,MLIR_BRIDGE_ROLLOUT_SAFE_MODE_ENABLED,D,,"tf.config.experimental.mlir_bridge_rollout
Removed enums MLIR_BRIDGE_ROLLOUT_SAFE_MODE_ENABLED and MLIR_BRIDGE_ROLLOUT_SAFE_MODE_FALLBACK_ENABLED which are no longer used by the tf2xla bridge",,,https://android.googlesource.com/platform/external/tensorflow/+/refs/heads/master/tensorflow/compiler/jit/flags.cc,,,,
2.12.0,MLIR_BRIDGE_ROLLOUT_SAFE_MODE_FALLBACK_ENABLED,D,,"tf.config.experimental.mlir_bridge_rollout
Removed enums MLIR_BRIDGE_ROLLOUT_SAFE_MODE_ENABLED and MLIR_BRIDGE_ROLLOUT_SAFE_MODE_FALLBACK_ENABLED which are no longer used by the tf2xla bridge",,,https://android.googlesource.com/platform/external/tensorflow/+/refs/heads/master/tensorflow/compiler/jit/flags.cc,,,,
2.13.0,tf.types.experimental.ConcreteFunction,P,,ConcreteFunction (tf.types.experimental.ConcreteFunction) as generated through get_concrete_function now performs holistic input validation similar to calling tf.function directly. This can cause breakages where existing calls pass Tensors with the wrong shape or omit certain non-Tensor arguments (including default values).,,Base class for differentiable graph functions.,https://www.tensorflow.org/api_docs/python/tf/types/experimental/ConcreteFunction#__call__,,,,
2.13.0,tf.nn.embedding_lookup_sparse,P,,tf.nn: tf.nn.embedding_lookup_sparse and tf.nn.safe_embedding_lookup_sparse now support ids and weights described by tf.RaggedTensors.,,Looks up embeddings for the given ids and weights from a list of tensors.,https://www.tensorflow.org/api_docs/python/tf/nn/embedding_lookup_sparse,,,,
2.13.0,tf.nn.safe_embedding_lookup_sparse,P,,tf.nn: tf.nn.embedding_lookup_sparse and tf.nn.safe_embedding_lookup_sparse now support ids and weights described by tf.RaggedTensors.,,"Lookup embedding results, accounting for invalid IDs and empty features.",https://www.tensorflow.org/api_docs/python/tf/nn/safe_embedding_lookup_sparse,,,,
2.13.0,tf.data.Dataset.zip,P,,"tf.data.Dataset.zip now supports Python-style zipping, i.e. Dataset.zip(a, b, c).",,Creates a Dataset by zipping together the given datasets.,https://www.tensorflow.org/api_docs/python/tf/data/Dataset,,,,
2.13.0,tf.data.Dataset.shuffle,P,,"tf.data.Dataset.shuffle now supports tf.data.UNKNOWN_CARDINALITY When doing a ""full shuffle"" using dataset = dataset.shuffle(dataset.cardinality()). But remember, a ""full shuffle"" will load the full dataset into memory so that it can be shuffled, so make sure to only use this with small datasets or datasets of small objects (like filenames).",,Randomly shuffling input data,https://www.tensorflow.org/guide/data,,,,
2.13.0,tf.nn.top_k,P,,"tf.nn.top_k now supports specifying the output index type via parameter index_type. Supported types are tf.int16, tf.int32 (default), and tf.int64.",,Finds values and indices of the k largest entries for the last dimension.,https://www.tensorflow.org/api_docs/python/tf/nn,,,,
2.13.0,tf.Variable,P,,"Changed resource variables to inherit from tf.compat.v2.Variable instead of tf.compat.v1.Variable. Some checks for isinstance(v, tf compat.v1.Variable) that previously returned True may now return False.",,,https://www.tensorflow.org/api_docs/python/tf/Variable,,,,
2.13.0,dtensor.run_on,D,,"tf.experimental.dtensor: Deprecated dtensor.run_on in favor of dtensor.default_mesh to correctly indicate that the context does not override the mesh that the ops and functions will run on, it only sets a fallback default mesh.",,,,,,,
2.13.0,dtensor.Layout,P,,tf.experimental.dtensor: List of members of dtensor.Layout and dtensor.Mesh have slightly changed as part of efforts to consolidate the C++ and Python source code with pybind11.,,Represents the layout information of a DTensor.,https://www.tensorflow.org/api_docs/python/tf/experimental/dtensor/Layout,,,,
2.13.0,dtensor.Mesh,P,,tf.experimental.dtensor: List of members of dtensor.Layout and dtensor.Mesh have slightly changed as part of efforts to consolidate the C++ and Python source code with pybind11.,,Represents a Mesh configuration over a certain list of Mesh Dimensions.,https://www.tensorflow.org/api_docs/python/tf/experimental/dtensor/Mesh,,,,
2.13.0,dtensor.Layout.serialized_string,D,,"tf.experimental.dtensor: Most notably, dtensor.Layout.serialized_string is removed.",,Returns a serialized Protobuf binary string representation.,https://docs.w3cub.com/tensorflow~2.9/experimental/dtensor/layout,,,,
2.13.0,tf.experimental.ExtensionType,P,,tf.experimental.ExtensionType now supports Python tuple as the type annotation of its fields.,,Base class for TensorFlow ExtensionType classes.,https://www.tensorflow.org/api_docs/python/tf/experimental/ExtensionType,,,,
2.13.0,tf.nest.is_sequence,D,,tf.nest: Deprecated API tf.nest.is_sequence has now been deleted. Please use tf.nest.is_nested instead.,,,https://www.tensorflow.org/api_docs/python/tf/nest,,,,
2.13.0,KerasClassifier,D,,"Removed the Keras scikit-learn API wrappers (KerasClassifier and KerasRegressor), which had been deprecated in August 2021. We recommend using SciKeras instead.",,"Implements the Scikit-Learn classifier interface, akin to sklearn.base.ClassifierMixin.",https://pypi.org/project/scikeras/0.1.8/,,,,
2.13.0,KerasRegressor,D,,"Removed the Keras scikit-learn API wrappers (KerasClassifier and KerasRegressor), which had been deprecated in August 2021. We recommend using SciKeras instead.",,"Implements the Scikit-Learn classifier interface, akin to sklearn.base.RegressorMixin.",https://pypi.org/project/scikeras/0.1.8/,,,,
2.13.0,tf.keras.dtensor.experimental.optimizers,P,,All the tf.keras.dtensor.experimental.optimizers classes have been merged with tf.keras.optimizers. You can migrate your code to use tf.keras.optimizers directly. The API namespace for tf.keras.dtensor.experimental.optimizers will be removed in future releases.,,Public API for tf.keras.dtensor.experimental.optimizers namespace.,https://docs.w3cub.com/tensorflow~2.9/keras/dtensor/experimental/optimizers,,,,
2.13.0,tf.keras.dtensor.experimental.layout_map_scope(),D,,Remove the tf.keras.dtensor.experimental.layout_map_scope(). You can user the tf.keras.dtensor.experimental.LayoutMap.scope() instead.,,Apply the layout to all the tf.Variables created under the scope.,https://docs.w3cub.com/tensorflow~2.9/keras/dtensor/experimental/layout_map_scope,,,,
2.14.0,tf.Tensor,P,,"The class hierarchy for tf.Tensor has changed, and there are now explicit EagerTensor and SymbolicTensor classes for eager and tf.function respectively. Users who relied on the exact type of Tensor (e.g. type(t) == tf.Tensor) will need to update their code to use isinstance(t, tf.Tensor). The tf.is_symbolic_tensor helper added in 2.13 may be used when it is necessary to determine if a value is specifically a symbolic tensor.",,represents a multidimensional array of elements.,https://www.tensorflow.org/api_docs/python/tf/Tensor,,,,
2.14.0,tf.compat.v1.Session.partial_run,D,,tf.compat.v1.Session: tf.compat.v1.Session.partial_run and tf.compat.v1.Session.partial_run_setup will be deprecated in the next release.,,Continues the execution with more feeds and fetches.,https://www.tensorflow.org/api_docs/python/tf/compat/v1/Session,,,,
2.14.0,tf.compat.v1.Session.partial_run_setup,D,,tf.compat.v1.Session: tf.compat.v1.Session.partial_run and tf.compat.v1.Session.partial_run_setup will be deprecated in the next release.,,Sets up a graph with feeds and fetches for partial run.,https://www.tensorflow.org/api_docs/python/tf/compat/v1/Session,,,,
