Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,,coplitot GC,gpt-3.5-turbo ,GPT4,ChatGPT-4 GC
6.2.0,TCPServer.bind,D,,Multi-process TCPServer.bind/TCPServer.start is deprecated,,Binds this server to the given port on the given address.,,,,,,
6.2.0,TCPServer.start,D,,,,,,,,,,
6.2.0,tornado.platform.asyncio.AnyThreadEventLoopPolicy,D,,AnyThreadEventLoopPolicy is deprecated. This class controls the creation of the “current” event loop so it will be removed when that concept is no longer supported.,,,,,,,,
6.2.0,IOLoop.make_current,D,,IOLoop.make_current and IOLoop.clear_current are deprecated. In the future the concept of a “current” event loop as distinct from one that is currently running will be removed.,,Makes this the IOLoop for the current thread.,,,,,,
6.2.0,IOLoop.clear_current,D,,IOLoop.make_current and IOLoop.clear_current are deprecated. In the future the concept of a “current” event loop as distinct from one that is currently running will be removed.,,"Clears the IOLoop for the current thread.",,,,,,
6.2.0,tornado.netutil.is_valid_ip,R,,is_valid_ip no longer raises exceptions when the input is too long.,,Returns True if the given string is a well-formed IP address.,,,,,,
6.2.0,tornado.trsting.bind_unused_port,P,,bind_unused_port now takes an optional address argument.,,,,,,,,
6.2.0,WebSocketClientConnection.write_message ,P,,WebSocketClientConnection.write_message now accepts dict arguments for consistency with WebSocketHandler.write_message.,,,,,,,,
6.2.0,WebSocketClientConnection.write_message ,R,,WebSocketClientConnection.write_message now raises an exception as documented if the connection is already closed.,,,,,,,,
6.3.0,RequestHandler.get_secure_cookie,D,,RequestHandler.get_secure_cookie is now a deprecated alias for RequestHandler.get_signed_cookie. RequestHandler.set_secure_cookie is now a deprecated alias for RequestHandler.set_signed_cookie,,"Returns the given signed cookie if it validates, or None.",,,,,,
6.3.0,RequestHandler.set_secure_cookie ,D,,RequestHandler.get_secure_cookie is now a deprecated alias for RequestHandler.get_signed_cookie. RequestHandler.set_secure_cookie is now a deprecated alias for RequestHandler.set_signed_cookie,,Signs and timestamps a cookie so it cannot be forged.,,,,,,
6.3.0,RequestHandler.clear_all_cookies,D,,RequestHandler.clear_all_cookies is deprecated. ,,"Attempt to delete all the cookies the user sent with this request.",,,,,,
6.3.0,AsyncTestCase.get_new_ioloop ,D,,AsyncTestCase.get_new_ioloop is deprecated.,,,,,,,,
6.3.0,GoogleOAuth2Mixin.get_google_oauth_settings ,A,,New method GoogleOAuth2Mixin.get_google_oauth_settings can now be overridden to get credentials from a source other than the Application settings.,,"Handles the login for the Google user, returning an access token.",https://www.tornadoweb.org/en/stable/auth.html#tornado.auth.GoogleOAuth2Mixin.get_google_oauth_settings,,,,,
6.3.0,tornado.websocket.websocket_connect,P,,websocket_connect now accepts a resolver parameter.,,Client-side websocket support.,https://www.tornadoweb.org/en/stable/websocket.html#tornado.websocket.websocket_connect,,1/7,4/10,9/10,0/10
6.3.0,tornado.wsgi.WSGIContainer,P,,WSGIContainer now accepts an executor parameter which can be used to run the WSGI application on a thread pool.,,Makes a WSGI-compatible application runnable on Tornado’s HTTP server.,https://www.tornadoweb.org/en/stable/wsgi.html#tornado.wsgi.WSGIContainer,,6/7,10/10,10/10,0/10
6.4.0,IOLoop.add_callback_from_signal,D,,IOLoop.add_callback_from_signal is suspected to have been broken since Tornado 5.0 and will be removed in version 7.0. Use asyncio.loop.add_signal_handler instead.,,Calls the given callback on the next I/O loop iteration.,https://www.tornadoweb.org/en/stable/ioloop.html#tornado.ioloop.IOLoop.add_callback_from_signal,,,,,
6.4.0,OAuth2Mixin.authorize_redirect,P,,The client_secret argument to OAuth2Mixin.authorize_redirect is deprecated and will be removed in Tornado 7.0. This argument has never been used and other similar methods in this module don’t have it.,,Redirects the user to obtain OAuth authorization for this service.,https://www.tornadoweb.org/en/stable/auth.html#tornado.auth.OAuth2Mixin.authorize_redirect,,0/7,0/10,0/10,0/10
6.4.0,tornado.auth.TwitterMixin,D,,TwitterMixin is deprecated and will be removed in the future.,,"Twitter OAuth authentication. ",https://www.tornadoweb.org/en/stable/auth.html#tornado.auth.TwitterMixin,,,,,
