Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,,coplitot GC,gpt-turbo GC,ChatGPT-4 GC
1.26.13,HTTPResponse.getheaders,D,,Deprecated the ``HTTPResponse.getheaders()`` and ``HTTPResponse.getheader()`` methods.,,Returns an unmodifiable view of the HTTP headers and corresponding values.,https://docs.oracle.com/javame/8.0/api/httpclient/api/com/oracle/httpclient/HttpResponse.html,,,,
1.26.13,HTTPResponse.getheader,D,,Deprecated the ``HTTPResponse.getheaders()`` and ``HTTPResponse.getheader()`` methods.,,Returns the value of header for the response.,https://docs.oracle.com/javame/8.0/api/httpclient/api/com/oracle/httpclient/HttpResponse.html,,,,
1.26.14,getheaders,D,,Removed deprecated getheaders() calls in contrib module. Fixed the type hint of ``PoolKey.key_retries`` by adding ``bool`` to the union. (`#2865 <https://github.com/urllib3/urllib3/issues/2865>`__),#2865,,,,,,
1.26.15,_UNRESERVED_PAT,D,,"Remove ""!"" character from the unreserved characters in IPv6 Zone ID parsing",#2899,,https://github.com/urllib3/urllib3/blob/main/src/urllib3/util/url.py,,,,
2.0.0,match_hostname,D,,"Removed fallback on certificate ``commonName`` in ``match_hostname()`` function.
  This behavior was deprecated in May 2000 in RFC 2818. Instead only ``subjectAltName``
  is used to verify the hostname by default. To enable verifying the hostname against
  ``commonName`` use ``SSLContext.hostname_checks_common_name = True``",#2113,"Verify that cert (in decoded format as returned by SSLSocket.getpeercert()) matches the hostname. RFC 2818 and RFC 6125 rules are followed, but IP addresses are not accepted for hostname.
CertificateError is raised on failure. On success, the function returns nothing.",https://tedboy.github.io/python_stdlib/generated/generated/ssl.match_hostname.html,,,,
2.0.0,urllib3.contrib.appengine.AppEngineManager,D,,Removed ``urllib3.contrib.appengine.AppEngineManager`` and support for Google App Engine Standard Environment.,#2044,Connection manager for Google App Engine sandbox applications.,https://urllib3.readthedocs.io/en/1.23/reference/urllib3.contrib.html,,,,
2.0.0,urllib3.HTTPResponse.from_httplib,D,,Removed ``urllib3.HTTPResponse.from_httplib``,#2648,"Given an http.client.HTTPResponse instance r, return a corresponding urllib3.response.HTTPResponse object.",https://urllib3.readthedocs.io/en/1.26.6/reference/urllib3.response.html,,,,
2.0.0,urllib3.PoolManager.connection_from_pool_key,D,,* Removed default value of ``None`` for the ``request_context`` parameter of ``urllib3.PoolManager.connection_from_pool_key``. This change should have no effect on users as the default value of ``None`` was an invalid option and was never used ,#1897,Get a urllib3.connectionpool.ConnectionPool based on the provided pool key.,https://urllib3.readthedocs.io/en/stable/reference/urllib3.poolmanager.html,,,,
2.0.0,urllib3.request,D,,"Removed the ``urllib3.request`` module. ``urllib3.request.RequestMethods`` has been made a private API.
  This change was made to ensure that ``from urllib3 import request`` imported the top-level ``request()``
  function instead of the ``urllib3.request`` module ",#2269,"A convenience, top-level request method. It uses a module-global PoolManager instance. Therefore, its side effects could be shared across dependencies relying on it. To avoid side effects create a new PoolManager instance and use it instead. The method does not accept low-level **urlopen_kw keyword arguments.",https://urllib3.readthedocs.io/en/stable/reference/urllib3.request.html,,,,
2.0.0,urllib3.contrib.pyopenssl,D,,Removed support for SSLv3.0 from the ``urllib3.contrib.pyopenssl`` even when support is available from the compiled OpenSSL library ,#2233,Module for using pyOpenSSL as a TLS backend.,https://urllib3.readthedocs.io/en/stable/reference/contrib/pyopenssl.html,,,,
